EmployeeID,EmployeeCount,Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,IncomeBand,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,1,41,36-44,Yes,"Travel Rarely",1102,Sales,1,2,"Life Sciences",2,Female,94,3,2,"Sales Executive",4,Single,5993,5k-10k,19479,8,Yes,11,3,1,0,8,0,1,6,4,0,5
2,1,49,45-53,No,"Travel Frequently",279,"Research & Development",8,1,"Life Sciences",3,Male,61,2,2,"Research Scientist",2,Married,5130,5k-10k,24907,1,No,23,4,4,1,10,3,3,10,7,1,7
4,1,37,36-44,Yes,"Travel Rarely",1373,"Research & Development",2,2,Other,4,Male,92,2,1,"Laboratory Technician",3,Single,2090,1k-5k,2396,6,Yes,15,3,2,0,7,3,3,0,0,0,0
5,1,33,27-35,No,"Travel Frequently",1392,"Research & Development",3,4,"Life Sciences",4,Female,56,3,1,"Research Scientist",3,Married,2909,1k-5k,23159,1,Yes,11,3,3,0,8,3,3,8,7,3,0
7,1,27,27-35,No,"Travel Rarely",591,"Research & Development",2,1,Medical,1,Male,40,3,1,"Laboratory Technician",2,Married,3468,1k-5k,16632,9,No,12,3,4,1,6,3,3,2,2,2,2
8,1,32,27-35,No,"Travel Frequently",1005,"Research & Development",2,2,"Life Sciences",4,Male,79,3,1,"Laboratory Technician",4,Single,3068,1k-5k,11864,0,No,13,3,3,0,8,2,2,7,7,3,6
10,1,59,54-60,No,"Travel Rarely",1324,"Research & Development",3,3,Medical,3,Female,81,4,1,"Laboratory Technician",1,Married,2670,1k-5k,9964,4,Yes,20,4,1,3,12,3,2,1,0,0,0
11,1,30,27-35,No,"Travel Rarely",1358,"Research & Development",24,1,"Life Sciences",4,Male,67,3,1,"Laboratory Technician",3,Divorced,2693,1k-5k,13335,1,No,22,4,2,1,1,2,3,1,0,0,0
12,1,38,36-44,No,"Travel Frequently",216,"Research & Development",23,3,"Life Sciences",4,Male,44,2,3,"Manufacturing Director",3,Single,9526,5k-10k,8787,0,No,21,4,2,0,10,2,3,9,7,1,8
13,1,36,36-44,No,"Travel Rarely",1299,"Research & Development",27,3,Medical,3,Male,94,3,2,"Healthcare Representative",3,Married,5237,5k-10k,16577,6,No,13,3,2,2,17,3,2,7,7,7,7
